id;name;rating;note
r001;Gerösteter Kürbis mit Kichererbsen;;Ofenkürbis, Kichererbsen, Rosmarin
r002;Linsencurry mit Kokosmilch;;schnell, würzig
r003;Zucchini-Spaghetti mit Tomatensauce;;leicht, italienisch
r004;Falafel-Bowl mit Tahini;;Proteinreich, frisch
r005;Süßkartoffel-Quinoa-Salat;;nahrhaft, warm/kalt
r006;Gebratene Pilze auf Polenta;;herzhaft, cremig
r007;Mediterraner Kichererbsensalat;;Tomate, Gurke, Oliven
r008;Rote-Bete-Risotto;;erdig, samtig
r009;Ofen-Rosenkohl mit Honig;;knusprig, süß-herzhaft
r010;Caprese mit Avocado;;schnell, sommerlich
r011;Spinat-Feta-Pastete;;blätterteig, würzig
r012;Pilz-Bourguignon mit Kartoffelpüree;;reichhaltig, comfort
r013;Auberginen-Caponata;;süß-sauer, sizilianisch
r014;Kichererbsenpfanne mit Paprika;;einfach, aromatisch
r015;Bulgur-Salat mit Minze;;leicht, frisch
r016;Gebackene Süßkartoffel mit Joghurt;;sättigend, einfach
r017;Käse-Lauch-Suppe;;cremig, deftig
r018;Couscous mit geröstetem Gemüse;;schnell, mediterran
r019;Tomaten-Mozzarella-Toast;;schnell, knusprig
r020;Brokkoli-Mandelsalat;;knackig, nussig
r021;Vegetarische Moussaka;;schichtgericht, würzig
r022;Bohneneintopf mit Paprika;;wärmend, hausgemacht
r023;Pasta mit Pesto und Zitrone;;frisch, aromatisch
r024;Gemüse-Thai-Curry;;kokos, mild scharf
r025;Ofengemüse mit Kräuterquark;;bunt, simpel
r026;Ratatouille mit Polenta;;provenzalisch, leicht
r027;Marokkanischer Kichererbsen-Tajine;;gewürzt, aromatisch
r028;Scharfe Tofu-Gemüse-Pfanne;;asiatisch, proteinreich
r029;Kürbisgnocchi mit Salbeibutter;;buttrig, saisonal
r030;Zitronen-Risotto mit Erbsen;;frisch, cremig
r031;Gemüse-Lasagne;;familientauglich, sättigend
r032;Bulgur mit gerösteten Tomaten;;herzhaft, nussig
r033;Miso-Auberginen;;asiatisch, umami
r034;Kichererbsen-Burger;;fleischfrei, würzig
r035;Sobanudeln mit Sesam-Gemüse;;leicht, asiatisch
r036;Quark-Gemüse-Auflauf;;cremig, einfach
r037;Grünkern-Bratlinge mit Salat;;rustikal, nahrhaft
r038;Pikante Tomatensuppe mit Basilikum;;schnell, wärmend
